OrderID,OrderTransactTime,ExecutionTransactTime,Symbol,Side,OrderQty,LimitPrice,AvgPx,LastMkt
ID79258,20250910-09:18:05.131,20250910-09:18:05.234,JBDI,1,38,3.26,2.820000,ID1516
ID79262,20250910-09:18:05.245,20250910-09:18:05.349,ASST,1,10,13.69,13.340000,ID1516
ID79267,20250910-09:18:05.529,20250910-09:18:05.632,GME,2,46,25.55,25.550000,ID1516
ID78717,20250910-09:17:27.436,20250910-09:18:06.865,INLF,1,137,1.03,1.030000,ID1516
ID78801,20250910-09:17:34.081,20250910-09:18:06.865,INLF,1,25,1.03,1.030000,ID1516
ID78812,20250910-09:17:35.457,20250910-09:18:07.276,INLF,1,831,1.03,1.030000,ID1516
ID78994,20250910-09:17:48.232,20250910-09:18:07.276,INLF,1,300,1.03,1.030000,ID1516
ID77252,20250910-09:15:20.519,20250910-09:18:07.566,ASST,1,4,13.3,13.300000,ID1516
ID77087,20250910-09:15:06.828,20250910-09:18:08.154,JBDI,2,50,2.82,2.820000,ID1516
ID77288,20250910-09:15:23.332,20250910-09:18:08.193,ASST,1,200,13.29,13.290000,ID1516
ID79049,20250910-09:17:51.773,20250910-09:18:08.558,WLDS,1,114,1.82,1.820000,ID1516
ID79161,20250910-09:17:59.709,20250910-09:18:09.868,CUPR,1,30,2.74,2.740000,ID1516
ID79255,20250910-09:18:04.858,20250910-09:18:09.910,ASST,2,4,13.5,13.500000,ID1516
ID79315,20250910-09:18:11.247,20250910-09:18:11.351,AEHL,1,34,14.5,14.500000,ID1516
ID79329,20250910-09:18:12.691,20250910-09:18:12.794,ABTC,2,184,10.73,10.735380,ID1516
ID79370,20250910-09:18:14.844,20250910-09:18:14.947,CUPR,2,163,2.76,2.790000,ID1516
ID79406,20250910-09:18:18.357,20250910-09:18:18.461,ZONE,2,163,4.04,4.050000,ID1516
ID79437,20250910-09:18:21.105,20250910-09:18:21.208,MWYN,1,60,2.6,2.590000,ID1516
ID79459,20250910-09:18:22.507,20250910-09:18:22.610,NIO,1,500,5.72,5.720000,ID1516
ID79386,20250910-09:18:16.457,20250910-09:18:22.659,CGTL,1,133,1.01,1.010000,ID1516
ID79301,20250910-09:18:09.800,20250910-09:18:22.659,CGTL,1,5,1.01,1.010000,ID1516
ID79417,20250910-09:18:18.897,20250910-09:18:23.913,CUPR,1,340,2.76,2.760000,ID1516
ID79481,20250910-09:18:24.402,20250910-09:18:24.505,ASST,2,70,13.43,13.520000,ID1516
ID79504,20250910-09:18:26.359,20250910-09:18:26.464,MWYN,1,136,2.6,2.600000,ID1516
ID79513,20250910-09:18:27.405,20250910-09:18:27.509,MWYN,1,30,2.6,2.600000,ID1516
ID78818,20250910-09:17:36.477,20250910-09:18:28.182,LGHL,1,1300,2.67,2.670000,ID1516
ID79361,20250910-09:18:13.988,20250910-09:18:28.422,JBDI,1,200,2.8,2.800000,ID1516
ID79472,20250910-09:18:23.689,20250910-09:18:28.422,JBDI,1,56,2.8,2.800000,ID1516
ID79346,20250910-09:18:13.416,20250910-09:18:28.422,JBDI,1,49,2.8,2.800000,ID1516
ID79518,20250910-09:18:27.682,20250910-09:18:28.956,ASST,1,46,13.62,13.620000,ID1516
ID78954,20250910-09:17:45.256,20250910-09:18:29.144,CUPR,1,26,2.73,2.730000,ID1516
ID78828,20250910-09:17:36.898,20250910-09:18:29.144,CUPR,1,52,2.73,2.730000,ID1516
ID78723,20250910-09:17:27.700,20250910-09:18:29.533,CUPR,1,200,2.7,2.700000,ID1516
ID79118,20250910-09:17:55.913,20250910-09:18:29.533,CUPR,1,19,2.7,2.700000,ID1516
ID79551,20250910-09:18:29.907,20250910-09:18:30.009,MWYN,1,100,2.6,2.600000,ID1516
ID79565,20250910-09:18:30.739,20250910-09:18:30.843,JEM,2,2000,0.575,0.589680,ID1516
ID79548,20250910-09:18:29.786,20250910-09:18:31.281,AEHL,1,27,14.52,14.520000,ID1516
ID79531,20250910-09:18:28.730,20250910-09:18:31.281,AEHL,1,10,14.5,14.500000,ID1516
ID78887,20250910-09:17:41.020,20250910-09:18:32.101,CGTL,1,890,0.9858,0.985800,ID1516
ID78765,20250910-09:17:31.452,20250910-09:18:32.438,BMNR,1,152,44.89,44.890000,ID1516
ID79445,20250910-09:18:21.221,20250910-09:18:32.665,AEHL,1,14,14.2,14.200000,ID1516
ID79602,20250910-09:18:33.531,20250910-09:18:33.635,ZONE,1,15,4.1,4.080000,ID1516
ID79638,20250910-09:18:33.816,20250910-09:18:33.920,CUPR,1,19,2.73,2.700000,ID1516
ID79326,20250910-09:18:12.648,20250910-09:18:34.292,MWYN,2,5000,2.6,2.600000,ID1516
ID79657,20250910-09:18:34.270,20250910-09:18:34.372,CGTL,1,313,0.9998,0.996200,ID1516
ID79675,20250910-09:18:35.274,20250910-09:18:35.377,ASST,1,35,13.8,13.550000,ID1516
ID79679,20250910-09:18:35.296,20250910-09:18:35.399,KIDZ,1,160,1.46,1.460000,ID1516
ID79608,20250910-09:18:33.609,20250910-09:18:35.491,CUPR,2,5883,2.7,2.704268,ID1516
ID79478,20250910-09:18:23.905,20250910-09:18:37.274,AEHL,1,5,14,14.000000,ID1516
ID79704,20250910-09:18:37.834,20250910-09:18:37.938,TNXP,1,41,28.35,26.930732,ID1516
ID79545,20250910-09:18:29.647,20250910-09:18:38.803,MWYN,1,500,2.57,2.570000,ID1516
ID79039,20250910-09:17:50.934,20250910-09:18:39.663,AEHL,1,65,13.8,13.800000,ID1516
ID79730,20250910-09:18:41.287,20250910-09:18:42.099,MWYN,1,154,2.6,2.600000,ID1516
ID79297,20250910-09:18:09.474,20250910-09:18:42.985,JBDI,1,200,2.79,2.790000,ID1516
ID58067,20250910-08:52:01.934,20250910-09:18:44.119,IXHL,2,801,0.5211,0.521100,ID1516
ID74210,20250910-09:11:40.501,20250910-09:18:44.756,NIO,1,1,5.71,5.710000,ID1516
ID79772,20250910-09:18:46.237,20250910-09:18:46.340,NVDA,1,70,174.1,174.100000,ID1516
ID79778,20250910-09:18:47.274,20250910-09:18:47.378,TDTH,2,509,0.9845,1.003929,ID1516
ID79802,20250910-09:18:49.069,20250910-09:18:49.171,CUPR,2,93,2.65,2.660000,ID1516
ID79806,20250910-09:18:49.160,20250910-09:18:49.263,NIO,1,500,5.72,5.720000,ID1516
ID79819,20250910-09:18:50.377,20250910-09:18:50.485,SNAP,2,8,7.24,7.240000,ID1516
ID79830,20250910-09:18:51.773,20250910-09:18:57.489,WLDS,1,1006,1.82,1.820000,ID1516
ID79792,20250910-09:18:48.815,20250910-09:18:58.668,CGTL,1,100,0.9858,0.985800,ID1516
ID79839,20250910-09:18:53.551,20250910-09:18:58.668,CGTL,1,484,0.9858,0.985800,ID1516
ID41655,20250910-08:32:31.146,20250910-09:19:04.606,XHLD,2,7733,0.34,0.340000,ID1516
ID79954,20250910-09:19:06.923,20250910-09:19:07.026,MWYN,1,29,2.6,2.580000,ID1516
ID79643,20250910-09:18:34.007,20250910-09:19:09.369,KIDZ,2,772,1.47,1.470000,ID1516
ID79349,20250910-09:18:13.621,20250910-09:19:10.352,STEC,2,50,1.82,1.820000,ID1516
ID77994,20250910-09:16:27.165,20250910-09:19:10.397,BIYA,2,1206,0.7531,0.753100,ID1516
ID79993,20250910-09:19:11.543,20250910-09:19:11.647,CGTL,1,1364,0.9934,0.989964,ID1516
ID79999,20250910-09:19:12.199,20250910-09:19:12.302,CGTL,1,300,0.9931,0.989901,ID1516
ID79389,20250910-09:18:16.729,20250910-09:19:14.102,INLF,2,138,1.03,1.030000,ID1516
ID67300,20250910-09:02:24.665,20250910-09:19:20.483,YAAS,1,35,0.0768,0.076800,ID1516
ID80076,20250910-09:19:20.692,20250910-09:19:20.796,AEHL,1,50,14.5,14.500000,ID1516
ID80083,20250910-09:19:20.925,20250910-09:19:21.029,WULF,2,46,10.58,10.630000,ID1516
ID80040,20250910-09:19:16.304,20250910-09:19:21.413,AEHL,1,30,14.32,14.320000,ID1516
ID80013,20250910-09:19:13.561,20250910-09:19:21.413,AEHL,1,2,14.32,14.320000,ID1516
ID80094,20250910-09:19:21.443,20250910-09:19:21.546,GMEU,2,88,16.11,16.110000,ID1516
ID80089,20250910-09:19:20.934,20250910-09:19:22.073,CGTL,1,250,0.94,0.940000,ID1516
ID77382,20250910-09:15:33.557,20250910-09:19:24.812,LGHL,1,500,2.62,2.620000,ID1516
ID80144,20250910-09:19:27.887,20250910-09:19:27.989,AEHL,2,6,14.32,14.460000,ID1516
ID80106,20250910-09:19:22.943,20250910-09:19:28.653,JBDI,1,15,2.82,2.820000,ID1516
ID80053,20250910-09:19:18.502,20250910-09:19:29.141,CGTL,1,30,0.9,0.900000,ID1516
ID78049,20250910-09:16:33.017,20250910-09:19:29.141,CGTL,1,50,0.9,0.900000,ID1516
ID79984,20250910-09:19:10.671,20250910-09:19:29.446,CGTL,1,1671,0.89,0.890000,ID1516
ID77500,20250910-09:15:45.027,20250910-09:19:29.446,CGTL,1,100,0.8897,0.889700,ID1516
ID74647,20250910-09:12:10.010,20250910-09:19:29.634,CGTL,1,1000,0.88,0.880000,ID1516
ID78341,20250910-09:16:58.673,20250910-09:19:29.634,CGTL,1,1000,0.88,0.880000,ID1516
ID78579,20250910-09:17:16.740,20250910-09:19:29.634,CGTL,1,1613,0.88,0.880000,ID1516
ID74513,20250910-09:12:01.170,20250910-09:19:29.635,CGTL,1,100,0.8772,0.877200,ID1516
ID74407,20250910-09:11:52.629,20250910-09:19:29.635,CGTL,1,42,0.876,0.876000,ID1516
ID80186,20250910-09:19:30.940,20250910-09:19:31.044,PSNY,2,2000,1,1.000000,ID1516
ID80192,20250910-09:19:31.005,20250910-09:19:31.111,SKBL,2,100,1.79,1.790000,ID1516
ID80202,20250910-09:19:31.814,20250910-09:19:31.916,CGTL,1,100,0.934,0.889000,ID1516
ID80209,20250910-09:19:31.989,20250910-09:19:33.325,AEHL,1,18,14.48,14.480000,ID1516
ID80199,20250910-09:19:31.563,20250910-09:19:33.332,AEHL,1,33,14.46,14.460000,ID1516
ID79204,20250910-09:18:01.578,20250910-09:19:33.393,WLDS,2,750,1.84,1.840000,ID1516
ID80235,20250910-09:19:34.431,20250910-09:19:34.535,VCIG,1,300,0.749,0.748949,ID1516
ID1565,20250910-08:00:00.414,20250910-09:19:36.492,DB,1,10,35.82,35.820000,ID1516
ID80183,20250910-09:19:30.827,20250910-09:19:37.148,CGTL,2,139,0.92,0.920000,ID1516
ID80229,20250910-09:19:33.790,20250910-09:19:37.148,CGTL,2,100,0.92,0.920000,ID1516
ID80258,20250910-09:19:38.394,20250910-09:19:38.499,ABTC,1,115,10.79,10.720000,ID1516
ID80265,20250910-09:19:39.195,20250910-09:19:39.299,AEHL,1,100,14.47,14.340000,ID1516
